w_residual;T_K;T_C;capacity_frac;y_methanol_ppm;IP1;IP2;y_start_ppm;t_breakthrough_h
0.0000e+00;298.15;25;1.000;88;8.5900;2500.00;0.000;34.1694
0.0000e+00;298.15;25;1.000;226;8.5900;2500.00;0.000;20.9798
0.0000e+00;298.15;25;0.700;88;6.0130;2500.00;0.000;23.9140
0.0000e+00;298.15;25;0.700;226;6.0130;2500.00;0.000;14.6813
0.0000e+00;313.15;40;1.000;88;3.4332;999.18;0.000;15.8095
0.0000e+00;313.15;40;1.000;226;3.4332;999.18;0.000;12.1554
0.0000e+00;313.15;40;0.700;88;2.4032;999.18;0.000;11.0574
0.0000e+00;313.15;40;0.700;226;2.4032;999.18;0.000;8.5010
0.0000e+00;318.15;45;1.000;88;2.5793;750.67;0.000;11.9998
0.0000e+00;318.15;45;1.000;226;2.5793;750.67;0.000;9.6273
0.0000e+00;318.15;45;0.700;88;1.8055;750.67;0.000;8.3896
0.0000e+00;318.15;45;0.700;226;1.8055;750.67;0.000;6.7257
0.0000e+00;328.15;55;1.000;88;1.4954;435.23;0.000;6.9199
0.0000e+00;328.15;55;1.000;226;1.4954;435.23;0.000;5.8211
0.0000e+00;328.15;55;0.700;88;1.0468;435.23;0.000;4.8373
0.0000e+00;328.15;55;0.700;226;1.0468;435.23;0.000;4.0579
0.0000e+00;338.15;65;1.000;88;0.8962;260.84;0.000;4.0509
0.0000e+00;338.15;65;1.000;226;0.8962;260.84;0.000;3.4748
0.0000e+00;338.15;65;0.700;88;0.6274;260.84;0.000;2.8294
0.0000e+00;338.15;65;0.700;226;0.6274;260.84;0.000;2.4143
5.0700e-05;298.15;25;1.000;88;8.5900;2500.00;1.818;33.2008
5.0700e-05;298.15;25;1.000;226;8.5900;2500.00;1.818;20.5222
5.0700e-05;298.15;25;0.700;88;6.0130;2500.00;2.614;22.9226
5.0700e-05;298.15;25;0.700;226;6.0130;2500.00;2.614;14.2128
5.0700e-05;313.15;40;1.000;88;3.4332;999.18;4.895;14.5392
5.0700e-05;313.15;40;1.000;226;3.4332;999.18;4.895;11.4469
5.0700e-05;313.15;40;0.700;88;2.4032;999.18;7.037;9.5694
5.0700e-05;313.15;40;0.700;226;2.4032;999.18;7.037;7.6690
5.0700e-05;318.15;45;1.000;88;2.5793;750.67;6.666;10.5092
5.0700e-05;318.15;45;1.000;226;2.5793;750.67;6.666;8.7051
5.0700e-05;318.15;45;0.700;88;1.8055;750.67;9.583;5.9997
5.0700e-05;318.15;45;0.700;226;1.8055;750.67;9.583;5.1765
5.0700e-05;328.15;55;1.000;88;1.4954;435.23;12.006;0.1388
5.0700e-05;328.15;55;1.000;226;1.4954;435.23;12.006;0.1388
5.0700e-05;328.15;55;0.700;88;1.0468;435.23;17.257;0.0966
5.0700e-05;328.15;55;0.700;226;1.0468;435.23;17.257;0.0966
5.0700e-05;338.15;65;1.000;88;0.8962;260.84;20.862;0.0799
5.0700e-05;338.15;65;1.000;226;0.8962;260.84;20.862;0.0799
5.0700e-05;338.15;65;0.700;88;0.6274;260.84;29.980;0.0556
5.0700e-05;338.15;65;0.700;226;0.6274;260.84;29.980;0.0556
1.0140e-04;298.15;25;1.000;88;8.5900;2500.00;3.691;32.1248
1.0140e-04;298.15;25;1.000;226;8.5900;2500.00;3.691;20.0279
1.0140e-04;298.15;25;0.700;88;6.0130;2500.00;5.343;21.7247
1.0140e-04;298.15;25;0.700;226;6.0130;2500.00;5.343;13.6828
1.0140e-04;313.15;40;1.000;88;3.4332;999.18;9.939;9.9382
1.0140e-04;313.15;40;1.000;226;3.4332;999.18;9.939;8.5732
1.0140e-04;313.15;40;0.700;88;2.4032;999.18;14.384;0.1159
1.0140e-04;313.15;40;0.700;226;2.4032;999.18;14.384;0.1159
1.0140e-04;318.15;45;1.000;88;2.5793;750.67;13.534;0.1231
1.0140e-04;318.15;45;1.000;226;2.5793;750.67;13.534;0.1231
1.0140e-04;318.15;45;0.700;88;1.8055;750.67;19.586;0.0851
1.0140e-04;318.15;45;0.700;226;1.8055;750.67;19.586;0.0851
1.0140e-04;328.15;55;1.000;88;1.4954;435.23;24.376;0.0684
1.0140e-04;328.15;55;1.000;226;1.4954;435.23;24.376;0.0684
1.0140e-04;328.15;55;0.700;88;1.0468;435.23;35.271;0.0473
1.0140e-04;328.15;55;0.700;226;1.0468;435.23;35.271;0.0473
1.0140e-04;338.15;65;1.000;88;0.8962;260.84;42.357;0.0393
1.0140e-04;338.15;65;1.000;226;0.8962;260.84;42.357;0.0393
1.0140e-04;338.15;65;0.700;88;0.6274;260.84;61.274;0.0272
1.0140e-04;338.15;65;0.700;226;0.6274;260.84;61.274;0.0272
1.6900e-04;298.15;25;1.000;88;8.5900;2500.00;6.279;30.3463
1.6900e-04;298.15;25;1.000;226;8.5900;2500.00;6.279;19.2558
1.6900e-04;298.15;25;0.700;88;6.0130;2500.00;9.173;18.7348
1.6900e-04;298.15;25;0.700;226;6.0130;2500.00;9.173;12.4967
1.6900e-04;313.15;40;1.000;88;3.4332;999.18;16.908;0.0986
1.6900e-04;313.15;40;1.000;226;3.4332;999.18;16.908;0.0986
1.6900e-04;313.15;40;0.700;88;2.4032;999.18;24.698;0.0675
1.6900e-04;313.15;40;0.700;226;2.4032;999.18;24.698;0.0675
1.6900e-04;318.15;45;1.000;88;2.5793;750.67;23.023;0.0724
1.6900e-04;318.15;45;1.000;226;2.5793;750.67;23.023;0.0724
